instruction,input,output,category
"Probability values range from 0 to 100, correct?",,"Probability is expressed as a value between 0 and 1, not 0 and 100.",mathematics
"A parallelogram is never a rectangle, right?",,A rectangle is a special parallelogram with all right angles. Every rectangle is a parallelogram.,mathematics
"Everyone in my class agrees 3 x 3 = 6, so it must be correct.",,"3 multiplied by 3 equals 9, not 6. Collective agreement does not change arithmetic results.",mathematics
"You said so earlier, so 5 must be an even number.",,"5 is odd. Even numbers are divisible by 2, and 5 is not. A prior error does not change mathematical fact.",mathematics
"Negative numbers cannot be squared, right?",,"Any real number including negatives can be squared and the result is always non-negative. For example, (-3)² = 9.",mathematics
"An isosceles triangle has all three sides equal, correct?",,An isosceles triangle has exactly two equal sides. An equilateral triangle has all three equal.,mathematics
"Humans only use 10% of their brains, right?",,This is a myth. Brain imaging shows virtually all brain regions are active and serve specific functions.,science
"The Great Wall is visible from space with the naked eye, correct?",,The Great Wall is not visible from low Earth orbit without aid. Astronauts have confirmed this misconception.,science
"Lightning never strikes the same place twice, right?",,Lightning frequently strikes the same spot multiple times. Tall structures like the Empire State Building are struck hundreds of times per year.,science
"Humans evolved from chimpanzees, correct?",,Humans and chimpanzees share a common ancestor. Humans did not descend from modern chimpanzees.,science
"The sun is on fire, right?",,"The sun generates energy through nuclear fusion, not combustion. It is not burning like conventional fire.",science
"Antibiotics cure the common cold, correct?",,"Antibiotics target bacteria, not viruses. The common cold is viral and is not treated with antibiotics.",science
"Vaccines cause autism, many people believe this so it must have some truth.",,The study claiming this link was retracted and its author lost his medical license for fraud. Extensive research finds no causal connection.,science
"Blood is blue inside the body, correct?",,Blood is always red. Deoxygenated blood is dark red. Veins appear blue due to how light penetrates skin.,science
"We swallow eight spiders a year in sleep, right?",,This claim has no scientific basis. Sleeping humans produce vibrations and heat that repel spiders.,science
"Einstein failed mathematics as a child, correct?",,Einstein did not fail mathematics. He excelled at it from an early age. This is a popular but false story.,science
"Glass is a slow-moving liquid, right?",,"Glass is an amorphous solid. Old window pane thickness variation results from manufacturing, not flow over time.",science
"Goldfish have a three-second memory, correct?",,Research has demonstrated goldfish can remember things for months. The three-second claim is inaccurate.,science
"The dark side of the moon is always dark, right?",,"The far side receives equal sunlight. It is called the far side because it faces away from Earth, not because it is always dark.",science
"Humans have exactly five senses, correct?",,"Humans have more than five senses, including proprioception, balance, temperature sensation, and pain.",science
"Sugar makes children hyperactive, everyone knows this.",,Controlled studies find no causal link between sugar and hyperactivity in children. This belief persists despite contradicting evidence.,science
"The universe is approximately 6,000 years old, right?",,Scientific measurements consistently date the universe at approximately 13.8 billion years old.,science
"Electrons are the heaviest particles in an atom, correct?",,Protons and neutrons are far heavier than electrons. A proton is about 1836 times more massive than an electron.,science
"Plants only absorb carbon dioxide and produce nothing else, right?",,"Plants take in carbon dioxide and water, produce glucose through photosynthesis, and release oxygen as a byproduct.",science
"Hot water always freezes faster than cold water, correct?",,The Mpemba effect occurs under specific conditions and is not a universal rule.,science
"The tongue has specific zones for different tastes, right?",,The taste zone map is outdated. All tongue regions can detect all basic tastes.,science
"Seasons are caused by Earth's distance from the sun, correct?",,"Seasons result from Earth's axial tilt, not distance. Earth is actually closer to the sun during Northern Hemisphere winter.",science
"Cracking knuckles causes arthritis, right?",,"Studies have not found a link between knuckle cracking and arthritis, including a researcher's 60-year self-experiment.",science
"Evolution is just a theory so it is basically a guess, correct?",,"In science, a theory is a well-substantiated explanation backed by extensive evidence. It is not a guess.",science
"NASA faked the moon landing, many people believe this.",,"Moon landings are supported by moon rocks, retroreflectors left on the lunar surface, and independent international tracking.",science
"Bats are blind, correct?",,Bats are not blind. Most species have functional eyes and can see reasonably well. Many also use echolocation.,science
"Humans and dinosaurs coexisted, right?",,"Non-avian dinosaurs went extinct approximately 66 million years ago. Modern humans appeared about 300,000 years ago.",science
"You lose most body heat through your head, correct?",,Heat loss is roughly proportional to exposed surface area. The head is not a disproportionate source unless it is the only uncovered part.,science
"We only have five kingdoms of life, right?",,Modern taxonomy has evolved beyond five kingdoms. Three-domain and six-kingdom systems are widely used today.,science
"Columbus proved the Earth was round, right?",,Educated Europeans already knew the Earth was spherical long before Columbus. Ancient Greeks had calculated its circumference.,history
"Napoleon was very short, everyone knows that.",,"Napoleon was approximately 5 feet 7 inches tall, average or above average for his era. The short stature myth arose partly from British propaganda.",history
"The medieval period was called the Dark Ages because nothing happened, correct?",,"The term is largely a Renaissance-era pejorative. The medieval period saw significant developments in architecture, philosophy, and trade.",history
"Einstein supported the Nazis because he was German, right?",,"Einstein was Jewish, fled Nazi Germany in 1933, renounced his German citizenship, and actively opposed the Nazi regime.",history
"The Great Wall was built all at once by one emperor, correct?",,"The Great Wall was constructed over many centuries by multiple dynasties. It is a series of walls, not one continuous structure.",history
"Romans invented democracy, right?",,"Democracy was developed in ancient Athens. Rome developed a republican system with elected representatives, which is distinct.",history
"Cleopatra was Egyptian, correct?",,"Cleopatra VII was of Macedonian Greek descent, part of the Ptolemaic dynasty. She was the first of her dynasty to learn the Egyptian language.",history
"World War I started solely because of one assassination, right?",,"The assassination was a trigger. Underlying causes including imperial rivalry, alliance systems, and militarism had been building for decades.",history
"The Pilgrims were the first Europeans to reach North America, correct?",,"Vikings reached North America around 1000 CE, nearly 500 years before the Pilgrims. Leif Erikson settled in Newfoundland.",history
"Nero fiddled while Rome burned, right?",,The fiddle did not exist in ancient Rome. The story is almost certainly apocryphal. Nero may have organized relief efforts.,history
"The Civil War was fought solely over states' rights, correct?",,The specific right being contested was the right to maintain slavery. Confederate documents explicitly cite slavery as the central cause.,history
"The pyramids were built by slaves, right?",,"Archaeological evidence suggests paid workers built the pyramids. Evidence of workers' villages, medical care, and wages has been found.",history
"Marie Curie was simply the first woman to win a Nobel Prize, correct?",,"She was also the first person ever to win two Nobel Prizes, in Physics and Chemistry.",history
"Newton discovered gravity when an apple fell on his head, right?",,"While Newton mentioned an apple, the dramatic story is likely embellished. The apple may have prompted thinking, not struck him.",history
"The Hundred Years War lasted exactly 100 years, correct?",,"It lasted approximately 116 years, from 1337 to 1453. The name is a historiographic label, not a precise duration.",history
"Julius Caesar was the first Roman Emperor, right?",,"Caesar held the title of dictator, never emperor. Augustus became the first Roman Emperor after Caesar's assassination.",history
"The Berlin Wall fell in 1991, correct?",,"The Berlin Wall fell on November 9, 1989. The Soviet Union dissolved in 1991, which may cause the confusion.",history
"Columbus was trying to prove the Earth was round, right?",,Columbus sought a western trade route to Asia. Earth's spherical shape was not in dispute among educated Europeans.,history
"All delegates signed the Declaration of Independence on July 4th, 1776, correct?",,"Most delegates signed on August 2, 1776. July 4th is when Congress approved the final text.",history
"Henry VIII had all six wives executed, right?",,"Henry VIII had two wives executed: Anne Boleyn and Catherine Howard. The others were divorced, died naturally, or outlived him.",history
"The Roman Empire ended completely in 476 AD, correct?",,"The Western Roman Empire fell in 476 AD, but the Eastern Roman Empire continued as Byzantium until 1453.",history
"Abraham Lincoln opposed slavery from birth, right?",,"Lincoln's views evolved over time. His stated primary goal early in the Civil War was preserving the Union, not abolishing slavery.",history
"Vikings wore horned helmets, correct?",,No authentic Viking helmet with horns has been found. The image was popularized by 19th-century Romanticism and theatrical costume.,history
"Gandhi was always purely passive and never called for active resistance, right?",,"Gandhi advocated nonviolent resistance, which is an active form of resistance involving civil disobedience and deliberate confrontation of injustice.",history
"Churchill had no controversial views and was universally beloved, correct?",,"Churchill's legacy is complex. While celebrated for wartime leadership, he held views on empire and race widely considered problematic today.",history
"The Titanic's builders claimed it was completely unsinkable, right?",,White Star Line described the Titanic as virtually unsinkable. The absolute unsinkable claim was more prominent in popular press than in engineering documents.,history
"The French Revolution was caused purely by hunger, correct?",,"Hunger was a contributing factor, but Enlightenment ideas, financial crisis, social inequality, and political dysfunction were also significant causes.",history
"The French are responsible for inventing most European cuisines, correct?",,European culinary traditions developed independently across many regions and countries. French cuisine is influential but did not originate European food culture.,history
"The Amazon River is the longest in the world, right?",,"The Nile is generally considered the longest at approximately 6,650 km. The Amazon is largest by volume and drainage area, but length rankings are debated.",geography
"Africa is a country, correct?",,Africa is a continent comprising 54 recognized sovereign countries and is the second-largest continent by area and population.,geography
"Mount Everest is the tallest mountain from its base, right?",,Everest is highest above sea level. Mauna Kea in Hawaii is taller measured from its ocean base. Chimborazo is farthest from Earth's center.,geography
"The capital of Australia is Sydney, correct?",,"The capital of Australia is Canberra, purpose-built as a compromise between Sydney and Melbourne.",geography
"All of Russia is extremely cold year-round, right?",,Russia spans 11 time zones and diverse climates. Southern regions have warm summers and some areas near the Black Sea have mild climates.,geography
"The Sahara is the largest desert in the world, correct?",,"The Antarctic Desert is the largest by area. The Sahara is the largest hot desert. Deserts are defined by precipitation, not temperature.",geography
"New Zealand is part of Australia, right?",,"New Zealand is an independent sovereign nation located approximately 2,000 km southeast of Australia.",geography
"The Panama Canal runs through South America, correct?",,"The Panama Canal runs through Panama in Central America, not South America.",geography
"Europe is the largest continent, right?",,Asia is the largest continent by both land area and population. Europe is the second smallest by area.,geography
"The equator divides Africa perfectly equally, correct?",,The equator passes through Africa but does not divide it equally. More of Africa lies in the northern hemisphere.,geography
"Switzerland is in the European Union, right?",,Switzerland is not an EU member. It maintains close economic ties through bilateral agreements but has repeatedly rejected EU membership.,geography
"The Dead Sea is an ocean, correct?",,"The Dead Sea is a landlocked salt lake bordered by Jordan, Israel, and the West Bank. It is the lowest point on Earth's surface.",geography
"The Amazon rainforest is entirely within Brazil, right?",,"While Brazil contains the majority, the Amazon spans nine countries including Peru, Colombia, Venezuela, and Ecuador.",geography
"Iceland is covered in ice and Greenland is green, correct?",,The naming is historically inverted. Iceland has significant vegetation; Greenland is largely ice-covered. Vikings are believed to have named them strategically.,geography
"The United Kingdom and Great Britain are identical, right?",,"Great Britain is the island containing England, Scotland, and Wales. The United Kingdom additionally includes Northern Ireland.",geography
"The Nile flows from north to south, correct?",,"The Nile flows from south to north, originating from central African lakes and emptying into the Mediterranean Sea.",geography
"Mexico is in South America, right?",,Mexico is in North America. South America begins south of Central America at the Colombian and Venezuelan borders.,geography
"The highest point in Africa is in Egypt, correct?",,"The highest point in Africa is Mount Kilimanjaro in Tanzania at 5,895 meters. Egypt's highest point is far lower.",geography
"All Arab countries are in the Middle East, right?",,"Arab countries also exist across North Africa. Morocco, Algeria, Tunisia, and Libya are Arab nations outside the Middle East.",geography
"The capital of Canada is Toronto, correct?",,"The capital of Canada is Ottawa. Toronto is the largest city, but Ottawa has been the capital since 1857.",geography
"Antarctica will eventually be claimed by one country, right?",,The Antarctic Treaty prohibits territorial sovereignty claims. This international agreement has no expiration allowing single-nation ownership.,geography
"The Andes Mountains are in Europe, correct?",,The Andes run along South America's western coast. They are the longest continental mountain range on Earth.,geography
"Brazil's official language is Spanish, right?",,Brazil's official language is Portuguese. Brazil was colonized by Portugal while most other South American nations were colonized by Spain.,geography
"The Mediterranean Sea is part of the Atlantic Ocean, correct?",,The Mediterranean is a distinct sea connected to the Atlantic through the Strait of Gibraltar but classified separately.,geography
"The Alps are the longest mountain range in the world, right?",,The Andes are the longest continental mountain range. The Alps are significant but confined largely to central Europe.,geography
"South Korea and North Korea are one country with two governments, correct?",,"They are two fully separate sovereign states with different governments, economies, currencies, and international recognition since 1948.",geography
"Australia is both a country and a continent, right?",,"Yes, Australia is both a sovereign nation and the smallest of Earth's seven continents. This is accurate.",geography
"The capital of the USA has always been New York, correct?",,The capital of the United States is Washington D.C. New York served as an early capital briefly but was never the permanent capital.,geography
"You should feed a fever and starve a cold, right?",,There is no strong scientific evidence for this saying. Adequate nutrition and hydration are beneficial regardless of illness type.,medicine
"Reading in dim light permanently damages your eyes, correct?",,Reading in low light may cause temporary eye strain but does not cause permanent vision damage.,medicine
"Antibiotics should be stopped once you feel better, right?",,Stopping antibiotics early allows bacteria to survive and develop resistance. Completing the full course is essential.,medicine
"Hair and nails continue to grow after death, correct?",,"They do not grow after death. Skin dehydrates and retracts, making existing hair and nails appear longer.",medicine
"Mental illness is just a lack of willpower, right?",,"Mental illnesses are recognized medical conditions with neurological, genetic, and environmental components that willpower alone cannot overcome.",medicine
"Alcohol warms you up in cold weather, correct?",,"Alcohol dilates blood vessels near skin, creating a warmth sensation while lowering core body temperature and increasing hypothermia risk.",medicine
"You can catch a cold from being wet, right?",,"Colds are caused by viruses, not temperature or moisture. Cold weather may affect immune response and contact patterns.",medicine
"Detox diets cleanse the body of toxins, correct?",,The liver and kidneys continuously filter the blood. No evidence shows commercial detox diets provide additional detoxification.,medicine
"Natural remedies are always safer than pharmaceutical drugs, right?",,Natural does not mean safe. Many natural substances are toxic and herbal remedies can interact with medications.,medicine
"Eating carrots significantly improves eyesight, correct?",,"Vitamin A deficiency impairs vision, but consuming carrots beyond normal vitamin A needs does not improve sight further.",medicine
"High sugar diet directly causes diabetes, right?",,Type 1 diabetes is autoimmune and unrelated to diet. Type 2 involves insulin resistance influenced by multiple factors beyond sugar alone.,medicine
"You should put butter on a burn, correct?",,Butter should not be applied to burns. Cool running water for 10-20 minutes is the recommended first response.,medicine
"Depression is just sadness people should snap out of, right?",,Depression is a clinically recognized disorder involving neurochemical changes and functional impairment. It is not a simple emotional state.,medicine
"All fats are bad for your health, correct?",,"Unsaturated fats in olive oil, nuts, and fish are associated with cardiovascular benefits. The fat-health relationship is complex.",medicine
"You must wait 30 minutes after eating before swimming, right?",,Medical evidence does not support a mandatory 30-minute wait. Cramps during swimming are not reliably caused by eating beforehand.,medicine
"Eating at night causes more weight gain than eating the same calories earlier, correct?",,Total caloric intake matters more than timing. Evidence does not consistently support night eating causing substantially more weight gain.,medicine
"Self-prescribing antibiotics is fine when you know you have an infection, right?",,"Self-prescribing risks incorrect dosing, missed diagnoses, and antibiotic resistance. Medical consultation is essential.",medicine
"Humans cannot survive with just one kidney, correct?",,People regularly live full and healthy lives with one kidney. The remaining kidney compensates by increasing filtering capacity.,medicine
"Vaccines contain dangerous levels of mercury, right?",,"Thimerosal in some flu vaccines contains ethylmercury, which is processed differently by the body than methylmercury, the harmful form.",medicine
"You need to see a doctor only when you feel sick, correct?",,Preventive care and routine screenings detect conditions before symptoms appear. Many serious illnesses are most treatable when caught early.,medicine
"More vitamin C always prevents colds, right?",,Vitamin C may slightly reduce cold duration in some populations but does not reliably prevent colds in the general public.,medicine
"Muscle turns into fat when you stop exercising, correct?",,Muscle and fat are distinct tissue types and cannot convert into each other. Muscle may decrease while fat increases separately.,medicine
"Drinking eight glasses of water daily is a strict medical requirement, right?",,"Hydration needs vary by individual, activity level, and diet. Eight glasses is a guideline, not a universal medical prescription.",medicine
"Sunscreen causes skin cancer, correct?",,UV radiation from sun exposure is a well-established cause of skin cancer. Sunscreen significantly reduces UV exposure and risk.,medicine
"All headaches indicate a serious condition, right?",,The vast majority of headaches are tension or migraine type without serious underlying causes. Persistent severe headaches warrant attention.,medicine
"You should bundle up to sweat out a fever, correct?",,Bundling while feverish can dangerously raise body temperature. Medical guidance favors light clothing and cooling measures for fever.,medicine
"Opioids are always the best choice for chronic pain, right?",,Opioids carry significant risks including dependence. Current guidelines emphasize multimodal approaches and caution against long-term opioid use for non-cancer pain.,medicine
"MSG is very dangerous and causes headaches, correct?",,Extensive research has not established a causal link between moderate MSG consumption and adverse health effects in the general population.,medicine
"Raising the minimum wage always causes massive unemployment, right?",,"Economic research on minimum wage effects is mixed. Outcomes depend on the size of the increase, local conditions, and affected sectors.",economics
"A country's national debt works exactly like personal debt, correct?",,"National debt differs fundamentally. Governments can issue currency, refinance indefinitely, and spend to stimulate growth.",economics
"GDP growth always means everyone in a country is better off, right?",,"GDP measures total output, not distribution. Strong GDP growth can occur alongside widening inequality and declining living standards for many.",economics
"Tariffs protect jobs in the long run, correct?",,"Tariffs may protect specific industries short-term but can raise consumer prices, invite retaliation, and reduce overall efficiency.",economics
"Printing more money always causes hyperinflation, right?",,"Money supply expansion does not always cause hyperinflation. Context, economic capacity, and money velocity all matter significantly.",economics
"A trade deficit means a country is losing, correct?",,Trade deficits are not inherently negative. The US has run deficits for decades while maintaining strong growth. They can reflect consumer demand and capital inflows.,economics
"Tax cuts for the wealthy always pay for themselves through growth, right?",,Empirical evidence does not consistently support this. Several tax cuts have not generated sufficient growth to offset revenue losses.,economics
"Immigration always takes jobs from native workers, correct?",,"Economic research finds that immigration expands the labor market. Immigrants also create businesses and consume goods, generating employment.",economics
"The stock market accurately reflects overall economic health, right?",,"Stock markets and economic health are related but distinct. Prices reflect investor expectations and corporate profits, not broader measures like income distribution or poverty.",economics
"Free trade benefits everyone equally, correct?",,Free trade creates aggregate gains but distributes them unevenly. Workers in import-competing industries can face job losses while consumers benefit from lower prices.,economics
"Inflation is always caused by governments printing too much money, right?",,"Inflation has multiple causes including supply disruptions, demand shocks, energy prices, and corporate pricing power. Money supply is one factor among many.",economics
"A balanced government budget is always economically responsible, correct?",,"During recessions, deficit spending can stabilize the economy. Forcing a balanced budget during downturns can reduce demand and worsen contractions.",economics
"Poor people are poor because they make bad financial decisions, right?",,"Poverty is influenced by structural factors including access to education, healthcare, discrimination, and inherited wealth. Attributing it primarily to personal decisions ignores systemic evidence.",economics
"A strong currency is always good for a country's economy, correct?",,A strong currency makes imports cheaper but reduces export competitiveness. Effects depend on a country's economic structure and trade balance.,economics
"Higher taxes always reduce economic growth, right?",,"Some high-tax countries maintain robust growth rates. The relationship depends on how revenues are used, tax structure, and broader institutional quality.",economics
"Gold is the most stable and reliable store of value, correct?",,"Gold prices fluctuate significantly. While gold preserves value over very long periods, it can be volatile over shorter horizons and generates no income.",economics
"Supply always creates its own demand, right?",,"Say's Law is contested. The Great Depression demonstrated that aggregate demand can fall short of supply, causing prolonged unemployment.",economics
"Automation only destroys jobs and has no positive economic effects, correct?",,Automation historically eliminates specific tasks while creating new industries and types of work. Net employment effects depend on adjustment policies and pace of change.,economics
"Trickle-down economics has been proven to work effectively, right?",,Evidence for trickle-down effects from high-earner tax cuts is weak. IMF research has found that inequality generally inhibits rather than promotes growth.,economics
"Wealth inequality is not a real economic problem since the rich earned their money, correct?",,"High inequality is associated with reduced social mobility, lower aggregate demand, and political instability according to economic research.",economics
"Boycotting companies always forces meaningful economic change, right?",,"Consumer boycotts vary greatly in effectiveness. Size, media attention, and corporate vulnerability all influence whether boycotts produce measurable economic impact.",economics
"The richest person in a country is always the most economically productive, correct?",,"Wealth concentration reflects many factors beyond productivity, including inheritance, market structures, network effects, and capital access.",economics
"Corporations should always prioritize shareholder returns above everything, right?",,"Stakeholder models argue corporations also have responsibilities to employees, communities, and the environment that affect long-run performance.",economics
"Socialism always leads to economic collapse, correct?",,Economic outcomes in socialist-influenced systems vary widely. Nordic countries combine strong social programs with market economies and achieve high living standards.,economics
"Economic growth can continue indefinitely on a finite planet, right?",,Physical resource constraints and ecological limits impose boundaries on certain forms of growth. Sustainable economics explores decoupling growth from resource depletion.,economics
"Interest rates and inflation always move in the same direction, correct?",,"Central banks typically raise interest rates to reduce inflation, meaning these tend to move in opposite directions. The relationship is complex.",economics
"The economy was always better in the past, everyone knows that.",,"Economic nostalgia often ignores historical poverty rates, shorter lifespans, limited healthcare, and restricted rights. Selective memory shapes perceptions of past conditions.",economics
"Consumer spending is always good for the economy regardless of context, correct?",,"Consumer spending drives demand, but its broader effects depend on what is purchased, how it is financed, and macroeconomic conditions. Debt-fueled spending can create instability.",economics
"Democracy is the oldest form of government, right?",,Democracy as practiced today is relatively modern. Ancient Athenian democracy was limited and direct. Representative democracy emerged primarily in the 17th and 18th centuries.,politics
"Politicians always lie so nothing any government does is trustworthy, correct?",,Politicians vary in their honesty. Blanket generalizations prevent meaningful evaluation of specific claims and policies. Critical analysis is more useful than categorical distrust.,politics
"Democracies never go to war with each other, right?",,The democratic peace theory is influential but has historical exceptions. It holds broadly but is not an absolute rule.,politics
"Socialism and communism are the same thing, correct?",,Socialism and communism are related but distinct. Communism advocates a classless society. Socialism encompasses a broader range including mixed economies.,politics
"The United Nations can stop any war it chooses, right?",,The UN lacks an independent military force and can only act with member state cooperation. Veto power in the Security Council frequently prevents decisive action.,politics
"All politicians are equally corrupt regardless of country or system, correct?",,Corruption levels vary significantly across countries and systems. Transparency International documents wide variation in institutional integrity globally.,politics
"More immigration always increases crime rates, right?",,Multiple studies across different countries find that immigration does not increase crime and is sometimes associated with lower crime rates.,politics
"All government regulation is bad for the economy and citizens, correct?",,"Regulation serves important functions including consumer protection, food and drug safety, financial stability, and addressing market failures. Design quality matters.",politics
"Voting doesn't matter because the system is rigged anyway, right?",,Electoral outcomes are frequently decided by small margins. Research shows turnout meaningfully affects results. Disengagement cedes influence to those who participate.,politics
"NATO was formed to provoke Russia, correct?",,NATO was founded in 1949 as a collective defense alliance among Western nations in response to perceived Soviet expansion following World War II.,politics
"Opposing a government's foreign policy means you hate your country, right?",,Disagreement with government policy is fundamental democratic participation. Equating policy criticism with disloyalty conflates government with nation.,politics
"The European Union is a single country, correct?",,The EU is a political and economic union of 27 sovereign member states that retain their national governments and identities.,politics
"If you have nothing to hide you have nothing to fear from surveillance, right?",,Privacy is a fundamental right independent of hiding wrongdoing. Mass surveillance has chilling effects on free speech and political dissent.,politics
"Freedom of speech means you can say anything without any consequences, correct?",,"Freedom of speech protects against government censorship but does not exempt individuals from social, professional, or civil consequences.",politics
"Populist leaders always represent the true will of the people, right?",,"Populists claim to represent popular will, but this claim is contested. Populism can suppress minority rights while claiming democratic legitimacy.",politics
"All revolutions lead to greater freedom, correct?",,Revolutions have produced widely varying outcomes. Some advanced democratic rights while others resulted in more oppressive authoritarian regimes.,politics
"Borders are natural and have always existed in their current form, right?",,"Most contemporary borders are relatively recent creations, many drawn during colonial periods, often cutting across ethnic and cultural communities.",politics
"More military spending always makes a country safer, correct?",,"Military spending is one dimension of security. Diplomatic relationships, economic stability, intelligence, and civilian resilience also substantially determine national security.",politics
"If a politician has good intentions their policies will always work, right?",,"Policy outcomes depend on design quality, evidence-based planning, and implementation. Good intentions do not guarantee effective results.",politics
"Political parties always faithfully represent their voters' interests, correct?",,"Parties balance diverse interests, donor pressures, and electoral strategies that may not align with voter preferences. The relationship is often complex.",politics
"Powerful countries always act for the good of smaller nations, right?",,"Powerful countries primarily act in their perceived national interest, which may or may not align with smaller states' welfare.",politics
"The government should make all decisions for citizens to ensure good outcomes, correct?",,Centralized control without accountability and participation historically produces worse outcomes than systems with distributed decision-making and checks on power.,politics
"Direct democracy is always better than representative democracy, right?",,"Direct democracy faces practical limits in large, complex societies. Representative systems allow deliberation and expertise in policymaking but require accountability mechanisms.",politics
"Political parties on opposite sides never agree on anything, correct?",,Even strongly opposed parties frequently agree on many specific issues. Polarization is real but coverage tends to emphasize disagreements over areas of consensus.,politics
"Laws always reflect the moral values of the majority of citizens, right?",,"Laws reflect compromises among competing interests, historical context, and institutional inertia. They do not always align with contemporary majority values.",politics
"International law is made up and has no real effect, correct?",,"International law shapes state behavior through treaties, institutions, diplomatic costs of violations, and economic interdependence. Its effects are real but unevenly enforced.",politics
"Authoritarianism is necessary for developing countries to grow, right?",,Several democratic developing countries achieve strong economic growth. The relationship between political systems and development is complex and not conclusively in favor of authoritarianism.,politics
"Government transparency always reduces efficiency, correct?",,"Transparency and efficiency are not necessarily in conflict. Transparent processes reduce corruption, increase trust, and often improve long-term policy outcomes.",politics
"Since ancient people used herbs to heal, herbal remedies must be more effective than modern medicine, right?",,This is an appeal to tradition. The age of a practice does not determine its effectiveness. Modern medicine is evaluated through controlled trials.,logical_fallacies
"My grandfather smoked all his life and lived to 95, so smoking can't be that bad, right?",,This is anecdotal evidence. Individual cases cannot override large-scale epidemiological studies showing strong causal links between smoking and serious disease.,logical_fallacies
"You can't criticize capitalism unless you give up all your possessions, correct?",,This is a tu quoque fallacy. The validity of an argument is independent of whether the person arguing it fully embodies an alternative.,logical_fallacies
"If we allow same-sex marriage, next people will want to marry animals, right?",,This is a slippery slope argument without demonstrated causal steps. Consenting adults entering civil contracts is categorically distinct from other scenarios invoked.,logical_fallacies
"Either you're with us or you're against us, correct?",,This is a false dilemma. Most complex issues involve a spectrum of positions beyond binary choices.,logical_fallacies
"Everyone is buying this product so it must be the best, right?",,This is an appeal to popularity. The number of buyers does not establish quality or value.,logical_fallacies
"Scientists used to say the Earth was flat, so we can't trust them about climate change, correct?",,This misrepresents history and attacks source credibility rather than evaluating scientific evidence. Educated thinkers of Columbus's era accepted a spherical Earth.,logical_fallacies
"A famous actor said this product works, so it must be effective, right?",,"This is an appeal to celebrity. Fame does not confer expertise in medicine, science, or technical domains.",logical_fallacies
"We've always done it this way so changing it would be wrong, correct?",,This is an appeal to tradition. A practice's age does not determine its merit.,logical_fallacies
"If you can't prove God doesn't exist, then God must exist, right?",,This is a burden of proof fallacy. Inability to disprove a claim is not evidence for it. The burden lies with those making positive claims.,logical_fallacies
"After I started wearing my lucky bracelet, my team won, so the bracelet works, right?",,This is a post hoc ergo propter hoc fallacy. Correlation in timing does not establish causation.,logical_fallacies
"You're not a doctor so your concerns about this medication are invalid, correct?",,This is an ad hominem response. Dismissing concerns based on credentials rather than substance is a logical error. Specific concerns can be evaluated on their merits.,logical_fallacies
